"Id","pB1","pB2","pB3","pB4","pB5","predicted.bucket"
1,4.89939927340634e-23,4.84438779474656e-13,0.000551126596787318,0.999195893461516,0.000252979941212271,4
2,1.48794319504945e-10,0.000217987233957671,0.999766522900917,1.54897110093789e-05,5.32159509045036e-12,3
3,3.71434292276418e-27,1.44989096047021e-16,7.20755836707109e-05,0.999541478861568,0.000386445554761154,4
4,2.99187427305176e-05,0.983437991490499,0.0165320369108561,5.28558188164942e-08,9.51429629520435e-14,2
5,6.5032619179883e-28,2.75349819119149e-18,9.06443225209206e-06,0.997585615551306,0.00240532001644224,4
6,3.22207196882722e-07,0.123595496670409,0.875912296557029,0.000491884548458008,1.69073247128398e-11,3
7,3.32909402961754e-27,1.08653807683993e-15,1.18521951373151e-05,0.54229029511523,0.457697852689631,4
8,1.40215407371086e-18,2.35444942614892e-08,0.999591038833233,0.000408937621761633,5.11404953075181e-13,3
9,0.997129793683011,0.00287020631636315,6.25741402289611e-13,1.20438618785789e-24,1.24667853621496e-33,1
10,0.0146187448077305,0.985367323329067,1.39318631668352e-05,3.5355041362722e-14,2.95282112032879e-18,2
11,1.39423948845913e-05,0.999979948204542,6.10940056979548e-06,3.43579915145153e-15,1.6739034900118e-19,2
12,5.55639463571444e-37,1.50152444976225e-27,7.09067871117021e-15,3.19758584723613e-11,0.999999999968017,5
13,6.73228455339416e-06,0.999948309865137,4.4957850256442e-05,5.27258715004921e-14,3.21668798053379e-20,2
14,3.75214925958573e-30,3.33926347066288e-17,4.52096778449928e-06,0.9879591165382,0.0120363624940158,4
15,1.13980959304333e-09,0.972874400394715,0.0271255960241636,2.44130975655727e-09,1.93695417369423e-15,2
16,0.194496904398797,0.805503093466924,2.13427832191454e-09,2.19225781405835e-17,2.95870664005739e-27,2
17,4.85495908207417e-09,0.105304057460857,0.894695337659858,6.0002410106699e-07,2.25255138095278e-13,3
18,0.0557746184741821,0.944224999535678,3.81990139432484e-07,6.53005872266976e-18,8.04153490406358e-26,2
19,2.15160207447265e-06,0.904398096641912,0.0955506618851866,4.90808412470244e-05,9.02957995841156e-09,2
20,0.000399927687541276,0.999594276634682,5.79567776888566e-06,7.60440426526672e-15,4.3001637661025e-22,2
21,6.61510469099905e-33,4.57006254971133e-23,3.87363640942551e-08,0.00242578833729005,0.997574172926346,5
22,0.157751620693369,0.842248346997061,3.23095585928581e-08,1.14928802228702e-14,1.17729238930107e-25,2
23,1.99540941280673e-22,4.60310325975024e-12,0.000558833244125576,0.999433948326706,7.21842456564579e-06,4
24,0.155323515952715,0.736738849534607,0.107911190984749,2.64402940804869e-05,3.23384786620323e-09,2
25,1.64579578386602e-08,0.914137007774253,0.0858627613404733,2.14427251441842e-07,6.42928410147617e-14,2
26,1.86912819819434e-23,3.39295470801976e-14,9.2726431769143e-05,0.99896264317514,0.000944630393057108,4
27,0.000488354981945015,0.999496955398262,1.46896197155354e-05,7.72629392085207e-14,2.14628402553765e-20,2
28,1.11619814337214e-25,6.03744299067357e-16,6.41362875116975e-06,0.595615447688163,0.404378138683085,4
29,1.22924564967035e-09,0.964578458076865,0.0354215251211036,1.55726075032397e-08,1.78099206128466e-13,2
30,0.999731513468771,0.000268486531214869,1.45911934872166e-14,1.33552627845616e-24,1.63073622585533e-34,1
31,0.999996667230635,3.33276936503338e-06,1.15360798803597e-17,1.31004324385604e-30,5.16126689431483e-44,1
32,1.2609954302085e-06,0.95475848072117,0.0452402553652605,2.91813830572696e-09,1.02053320540325e-15,2
33,2.58379189588107e-19,1.38765932374693e-10,0.00112069169121694,0.998862457748517,1.68504215003897e-05,4
34,2.6400086501265e-09,0.0487200717424561,0.951275743275076,4.17886583876635e-06,3.47662075814343e-09,3
35,5.68509342775145e-26,7.67793940156316e-18,7.0404656061853e-09,3.77715347709478e-07,0.999999615244187,5
36,3.64591695364976e-27,7.84576603927428e-19,4.1976461021552e-07,0.014775482346502,0.985224097888888,5
37,4.52308028874465e-08,0.0249101614503746,0.972039777636512,0.00305001459850346,1.08380734704613e-09,3
38,1.95074886617538e-06,0.817713724752362,0.182284323134998,1.36333485288962e-09,4.39002133549786e-13,2
