"Id","SalePrice"
1461,123990.652480354
1462,161359.819886657
1463,188825.314873254
1464,204697.972996292
1465,192566.498790863
1466,179270.747383317
1467,184755.947563506
1468,169606.705847853
1469,179987.992194811
1470,112866.877554324
1471,197886.147751564
1472,97554.2902596608
1473,95966.9619678282
1474,154814.839067768
1475,121885.009189834
1476,343945.155875237
1477,270478.59704448
1478,305456.19220508
1479,296324.336625401
1480,453980.375047022
1481,335016.008534422
1482,228617.941647172
1483,186365.631380922
1484,171066.174102141
1485,185934.136854125
1486,204161.871795066
1487,355117.830493612
1488,250664.779784521
1489,213679.085239361
1490,260251.165895918
1491,201445.598397462
1492,95061.7573206518
1493,189184.848975717
1494,310012.33672245
1495,310507.400788736
1496,247510.480212528
1497,186631.799047098
1498,162145.262947329
1499,152547.601104804
1500,155835.863710227
1501,160749.47846743
1502,150860.101586012
1503,299575.674319933
1504,244667.949197718
1505,230528.987680192
1506,195040.84854264
1507,248497.907201819
1508,198946.005952563
1509,167019.935267965
1510,143749.671958486
1511,146054.587356591
1512,175894.231672529
1513,161939.760603034
1514,171301.83256746
1515,200661.543241988
1516,160989.050252565
1517,170732.256880939
1518,142244.813869138
1519,226557.271984131
1520,127138.793703793
1521,133045.032458031
1522,168649.058315629
1523,107633.50576937
1524,119738.338050691
1525,122717.089934925
1526,111707.552960035
1527,100050.254265178
1528,148650.090081946
1529,137683.339145646
1530,193458.017183612
1531,111376.293468072
1532,98332.9084599254
1533,140718.042564176
1534,120941.093192658
1535,152354.583443584
1536,111304.435642892
1537,65155.8166734927
1538,166980.344186652
1539,188546.693143577
1540,105781.401210659
1541,137095.560686151
1542,136152.734124615
1543,166175.463480822
1544,84963.4937941445
1545,115798.682900293
1546,119138.501425803
1547,135130.62145679
1548,130839.382555331
1549,110250.337523474
1550,117396.836921388
1551,110487.019529916
1552,121863.247635678
1553,139368.477325435
1554,121488.390346583
1555,166593.872621355
1556,89885.2005582921
1557,104280.056328652
1558,95536.5390967268
1559,85669.8940112906
1560,130278.940868482
1561,130979.569958507
1562,123543.524210031
1563,112420.937748659
1564,156396.873616772
1565,144920.450912581
1566,233638.42154846
1567,76113.4780596138
1568,236183.357224654
1569,122243.94809188
1570,139637.555744834
1571,114397.923247953
1572,146868.465898618
1573,277082.930692034
1574,111486.760307912
1575,255296.09646039
1576,256267.920781308
1577,185753.997648225
1578,137614.300013173
1579,137404.860534147
1580,200224.35780085
1581,159227.258467367
1582,119243.127738406
1583,350416.542776772
1584,221113.065979382
1585,147969.135952229
1586,69584.3094199404
1587,103348.2853705
1588,147677.784382272
1589,101648.78348665
1590,135044.196146686
1591,87954.5561438307
1592,112214.55357465
1593,109542.442885182
1594,138002.22033975
1595,96735.5649590603
1596,198186.707431145
1597,174976.773263596
1598,214972.809900895
1599,175688.445952639
1600,173174.443570063
1601,61016.4143157969
1602,110435.17023541
1603,91645.3480613828
1604,288179.142180155
1605,247519.659557802
1606,176904.419728961
1607,184275.196492156
1608,236592.383056927
1609,193924.48807979
1610,159309.295043077
1611,135707.069270267
1612,175329.651469777
1613,166761.165662398
1614,126588.243653891
1615,95013.6082905383
1616,79800.042220835
1617,95195.2991951887
1618,121836.579097623
1619,134544.745790964
1620,149121.796477208
1621,141711.037720838
1622,143532.53391731
1623,308278.594558217
1624,222474.595985056
1625,117784.12269675
1626,169932.636442016
1627,197576.295962206
1628,311679.459879544
1629,177109.927791273
1630,373149.685024017
1631,221625.17956424
1632,266700.409882019
1633,177317.749587415
1634,188230.02443682
1635,178687.035004684
1636,159520.662414276
1637,191283.632558011
1638,224726.177227973
1639,194519.796783991
1640,280779.446695607
1641,187318.875661561
1642,253105.390205776
1643,232883.844148481
1644,241568.442606279
1645,220261.932664602
1646,159251.666277841
1647,163372.660366089
1648,128150.928662452
1649,137960.822415552
1650,115331.537387693
1651,118629.749854652
1652,97531.4980903933
1653,102780.576170632
1654,147955.274617907
1655,143427.717137296
1656,145994.065736663
1657,148824.99281504
1658,145853.646347863
1659,124478.991150417
1660,157733.899152332
1661,420843.637227974
1662,390396.063682271
1663,377048.423312316
1664,509812.947917098
1665,313092.947825159
1666,344645.934723757
1667,395866.938572318
1668,336277.123772324
1669,310769.003387508
1670,350996.29089411
1671,298138.613889744
1672,444218.814488787
1673,308118.834466835
1674,261599.204058571
1675,207496.377879527
1676,210823.888397435
1677,236687.695632587
1678,499189.907309184
1679,378046.653867905
1680,318992.764653312
1681,256593.131376119
1682,328800.553519746
1683,192016.153044875
1684,187505.597273626
1685,179863.045861378
1686,181868.329183648
1687,176479.174027818
1688,204659.296109319
1689,200261.897477386
1690,205728.329146689
1691,186511.06341338
1692,290062.550142555
1693,178738.917322525
1694,184423.195963463
1695,171909.25034143
1696,276626.906355317
1697,178344.513223152
1698,366818.27483407
1699,331607.904196994
1700,282331.413540782
1701,284127.32494695
1702,273370.971454919
1703,274923.389403601
