"Id","B1","B2","B3","B4","B5","I1","I2","I3","I4","I5"
1,2.09666662038967e-17,1.19028360130778e-08,0.99914093273714,0.999999628525058,0.73218431295586,0,0,0,1,0
2,1.78044542013271e-09,0.00447759884083532,0.994470222208775,0.00458937266344412,3.59484448167127e-11,0,0,1,0,0
3,1.53643669022531e-20,1.57811474743391e-10,0.999871889333428,0.999999996922688,0.995763961824162,0,0,0,1,0
4,8.63203451162971e-05,0.164140073548833,0.00295159811997577,1.28196190236991e-06,1.10387493453073e-10,0,1,0,0,0
5,1.10226599926595e-21,2.38799834004793e-13,0.922118610889778,0.999999998248307,0.999999901888694,0,0,0,1,0
6,2.12765933991006e-05,0.444282226266107,0.425120563985147,3.82332439182429e-05,2.3617122534505e-12,0,1,0,0,0
7,1.97737880669648e-21,2.11045023232353e-10,0.941536833645426,0.999999762693728,0.999988021963359,0,0,0,1,0
8,1.37714394085788e-15,2.55594179447377e-06,0.999778547709248,0.923421990922559,3.13652363756533e-09,0,0,1,0,0
9,0.999999990397347,0.999319453641996,2.77305042897436e-07,7.86696714927974e-17,2.73891911995456e-24,1,0,0,0,0
10,0.967816898638785,0.984005316547425,6.88459880272825e-06,2.192901032103e-12,1.03870875957032e-17,0,1,0,0,0
11,0.987113691259947,0.99999895883608,0.000119398301353514,1.87409690660698e-13,4.30031381313933e-18,0,1,0,0,0
12,7.97832307219036e-23,1.02475224984739e-15,9.12432665576478e-05,0.986863096034384,0.999999999999998,0,0,0,0,1
13,0.993243083195493,0.999998860685221,5.46326787504583e-05,4.24610486155123e-14,1.59551696434177e-19,0,1,0,0,0
14,4.55093357966536e-19,1.95230049981609e-10,0.911808891312772,0.999999949435328,0.999704569816433,0,0,0,1,0
15,0.000245094683069875,0.999607034807727,0.00838183888072573,6.43047144416612e-10,3.61448018331805e-16,0,1,0,0,0
16,0.999999992446169,0.999970234030503,4.31551357682711e-07,2.68186882370637e-15,3.77798116593683e-24,1,0,0,0,0
17,5.5718008113322e-07,0.811832303670943,0.606811601238352,1.67133929979985e-06,4.89755058107563e-13,0,1,0,0,0
18,0.999925723542236,0.996326119267696,0.000230636621319553,1.01132470824057e-12,1.99930878456154e-19,1,0,0,0,0
19,3.9077551400519e-05,0.565663801363821,0.201024554206929,1.66520184021733e-05,4.23008492770577e-10,0,1,0,0,0
20,0.998244768746904,0.999999573698676,0.000133723571748612,3.63571195717326e-13,7.49107091366599e-20,0,1,0,0,0
21,4.39824968159316e-21,7.21640832684613e-15,0.246072370272457,0.999997917381921,0.999999999298921,0,0,0,0,1
22,0.999996608499426,0.978864262393428,4.06946579583528e-08,1.32136917476308e-15,7.86292492999769e-25,1,0,0,0,0
23,4.22263435683457e-16,3.01262838279591e-08,0.996153741445137,0.999998568530811,0.774411784447484,0,0,0,1,0
24,0.0108765903273595,0.41746262618942,0.00185460492805327,5.28779020782e-07,7.34154608700599e-13,0,1,0,0,0
25,9.1652522484353e-05,0.998094579894157,0.0110991522978367,1.63374667945509e-08,1.229695489098e-14,0,1,0,0,0
26,8.24088475372854e-18,4.39795831946796e-11,0.5918564406106,0.999999346535867,0.999757700814072,0,0,0,1,0
27,0.910080787994726,0.999947769635873,0.00368994407499933,3.82121401620622e-10,2.78683436078584e-17,0,1,0,0,0
28,8.9058603889379e-21,7.26900149170995e-12,0.104630608801949,0.999998803868007,0.999999958244586,0,0,0,0,1
29,0.000335342205733865,0.998513606615288,0.00124793458096657,4.62761616153099e-09,1.49950000430409e-14,0,1,0,0,0
30,0.999999999774115,0.99997874970768,1.65587891136158e-08,8.68871680864878e-17,1.05786922570282e-25,1,0,0,0,0
31,0.999999999999918,0.999967894077804,9.83593183295076e-10,2.7197278740519e-21,1.3614220814469e-33,1,0,0,0,0
32,0.00429699334058538,0.998661251793367,0.0253351377084317,1.25141087975354e-09,7.13789188484253e-17,0,1,0,0,0
33,2.1601900583714e-14,4.74363886533265e-08,0.937145636662301,0.999946083337098,0.256127972855119,0,0,0,1,0
34,1.37686668854029e-07,0.527807238159635,0.680722652336501,3.10288249853691e-05,9.69602433795556e-10,0,0,1,0,0
35,2.17371648473871e-18,3.46848966403137e-11,0.0216501566297013,0.982013247330629,0.999999985144566,0,0,0,0,1
36,2.15888664862181e-21,8.78429812193603e-15,0.0306466182967106,0.999987526829224,0.999999999921714,0,0,0,0,1
37,9.33857014240974e-06,0.0857016031489435,0.742426673970977,0.00370842914163007,2.75686183632179e-10,0,0,1,0,0
38,0.000100403955963715,0.989446578481509,0.523343417698128,7.1535916866224e-09,4.55751752488262e-13,0,1,0,0,0
39,0.6863923469284,0.999952924882358,0.00022757075269985,4.17666983352398e-10,1.42246084969826e-16,0,1,0,0,0
40,0.999999892142013,0.823876279776353,8.19623013222189e-08,4.73965694533975e-14,2.90609442712101e-20,1,0,0,0,0
41,3.63953230344795e-06,0.858819460069791,0.829723562574248,5.09472622820972e-06,1.26978329725686e-12,0,1,0,0,0
42,0.00192349768557294,0.878367270766177,0.007459023667387,4.28624750395984e-10,1.75496418541242e-16,0,1,0,0,0
43,6.58693455135667e-08,0.808990007837679,0.319563202596607,6.03870091727779e-06,1.05479489255391e-13,0,1,0,0,0
44,0.00069280431206439,0.999276719108649,0.000625005859205885,1.77155085434146e-08,4.14371201712903e-15,0,1,0,0,0
45,0.712675574569969,0.999934866199124,0.000632364354730856,9.61940004723096e-11,6.79272705781664e-20,0,1,0,0,0
46,3.49538979161533e-18,7.09944777313532e-11,0.0317591130348244,0.98397435177876,0.999999867666698,0,0,0,0,1
47,4.73949376371745e-17,1.14677007192e-08,0.636766643827334,0.997683554456333,0.800629598404137,0,0,0,1,0
48,1.18750481509706e-16,2.16719297825654e-09,0.618778687784749,0.99999800601826,0.942026572420284,0,0,0,1,0
49,0.999999998036367,0.983377529238999,3.27510191095872e-06,5.29767320917254e-15,2.50270323301673e-21,1,0,0,0,0
